subjectID,platformID,taskID,video_duration,distracting_gazes_count,percentage_of_distracting_gazes,amount_of_seconds_distracted,mean,std,min,25%,50%,75%,max,time_on_task,average_game_error
01,AA,T1,194.46666666666667,166,0.804,156.3512,0.197074594103531,0.34951741423099686,0.0,0.000114,0.0056105,0.138458,0.996801,194.03333333333333,149.19461980012917
01,AA,T2,27.333333333333332,21,0.622,17.001333333333335,0.3658488756097561,0.4320096642905895,0.000212,0.00313625,0.04323,0.9022220000000001,0.997356,27.3,66.5627604071412
01,AA,T3,20.366666666666667,12,0.308,6.272933333333333,0.6325375450081834,0.4194303226668082,0.000169,0.013456,0.888218,0.961346,0.995815,20.333333333333332,25.873381086562595
01,CP,T1,40.93333333333333,44,0.716,29.308266666666665,0.2934809063517915,0.4011956754312239,0.000117,0.0073395,0.045089000000000004,0.82068075,0.99646,40.86666666666667,48.585113616037596
01,CP,T2,18.033333333333335,24,0.425,7.664166666666666,0.5845506894639557,0.4373979052330908,0.001112,0.058896,0.926754,0.97417,0.993986,18,29.332283986339725
01,CP,T3,21.366666666666667,42,0.379,8.097966666666666,0.6201629079563182,0.40193677014091633,0.000789,0.141406,0.876007,0.973366,0.995053,21.3,22.145846967756956
01,NO,T0,45.06666666666667,4,0.002,0.09013333333333334,0.9247138431952662,0.04950257607202543,0.283098,0.9078565,0.9359770000000001,0.95462,0.984446,45,12.964262801371357
02,AA,T1,49.53333333333333,87,0.676,33.48453333333334,0.3471659017496635,0.36604094027943124,0.0,0.02143225,0.175095,0.71362825,0.99287,49.43333333333333,119.38922393860156
02,AA,T2,24.266666666666666,26,0.408,9.9008,0.5923896923076923,0.40341957449247273,0.000299,0.1086425,0.8609264999999999,0.9499475000000001,0.99433,24.233333333333334,70.23247399928867
02,AA,T3,18.033333333333335,26,0.418,7.537933333333332,0.5337779297597043,0.4070311821559806,0.001425,0.034525,0.646883,0.94326,0.990071,18.033333333333335,39.48311718388324
02,CP,T1,90.13333333333334,134,0.691,62.282133333333334,0.3402458624260355,0.35543628226072976,3.9e-05,0.03876475,0.170092,0.64808975,0.99363,90,123.56596678915186
02,CP,T2,22.466666666666665,28,0.436,9.795466666666666,0.5692010979228487,0.3994415332472619,0.001172,0.10584325,0.762964,0.9512459999999999,0.989786,22.433333333333334,73.60323908320785
02,CP,T3,71.93333333333334,142,0.567,40.786199999999994,0.4356255769230769,0.3333599564568727,0.000735,0.1044885,0.396151,0.76077375,0.98849,71.83333333333333,94.94382144616097
02,NO,T0,45.13333333333333,0,0.0,0.0,0.9231745635155095,0.07146602368116975,0.564221,0.90226025,0.9554475,0.97038175,0.992479,45,28.645475267257925
03,AA,T1,97.83333333333333,219,0.349,34.143833333333326,0.6652400551959115,0.26574881335581585,0.078298,0.4260995,0.649966,0.961668,0.997357,97.6,68.39621880236496
03,AA,T2,29.266666666666666,42,0.157,4.594866666666666,0.8138802585421412,0.24244069669286475,0.097273,0.7252565,0.934887,0.9826185,0.997184,29.233333333333334,26.646490928203146
03,AA,T3,21.033333333333335,36,0.328,6.898933333333334,0.6451564754358162,0.3330498108305889,0.041128,0.3611455,0.69916,0.972745,0.997596,19.733333333333334,27.316716300354205
03,CP,T1,57.0,130,0.233,13.281,0.6948348421052631,0.2561517217389896,0.027418,0.5144,0.7469015,0.9236132499999999,0.998016,58.43333333333333,55.09979589777978
03,CP,T2,12.9,29,0.222,2.8638,0.7605955839793281,0.27421070829453154,0.152119,0.5413034999999999,0.943849,0.985193,0.997121,16.966666666666665,27.023865365333993
03,CP,T3,21.066666666666666,28,0.38,8.005333333333333,0.6426879256329113,0.3420164754611413,0.030282,0.3034,0.819,0.95977725,0.99706,21.066666666666666,30.57008333310628
03,NO,T0,45.13333333333333,6,0.018,0.8124,0.9497331772525849,0.0962073382698037,0.332485,0.9610945,0.9779415,0.98620725,0.996692,45,17.603099769809212
04,AA,T1,72.16666666666667,266,0.567,40.918499999999995,0.425983119630485,0.3010510748996103,0.000113,0.129232,0.408745,0.704748,0.97214,,
04,AA,T2,17.0,59,0.455,7.735,0.509106005882353,0.26571652900365555,0.019588,0.25936824999999997,0.5433595,0.7374197499999999,0.965346,,
04,AA,T3,19.733333333333334,53,0.542,10.695466666666668,0.45048872804054063,0.33475640029638887,0.009117,0.1064585,0.4132715,0.7850692499999999,0.977983,,
04,CP,T1,58.53333333333333,226,0.475,27.80333333333333,0.5043084316628702,0.2767985304406327,0.000764,0.26031325,0.531242,0.7501175,0.970266,,
04,CP,T2,11.766666666666667,34,0.269,3.1652333333333336,0.6371613371104815,0.22821981486294385,0.055661,0.472394,0.686533,0.826774,0.973364,,
04,CP,T3,54.46666666666667,210,0.372,20.261599999999998,0.5806171713586291,0.27816520576958453,0.0,0.36263500000000004,0.633275,0.82447025,0.988379,,
04,NO,T0,45.1,40,0.067,3.0217000000000005,0.7645066629711753,0.1645276216856659,0.137055,0.658812,0.794498,0.895695,0.996203,,
05,AA,T1,56.96666666666667,74,0.456,25.9768,0.5326485219426564,0.45379455811370456,0.000914,0.02107,0.774733,0.981386,0.997374,56.86666666666667,43.47973945681917
05,AA,T2,16.633333333333333,23,0.289,4.807033333333333,0.6937974048096193,0.41645115604044386,0.000953,0.119928,0.953579,0.9888895,0.997016,16.633333333333333,25.5668034674197
05,AA,T3,29.333333333333332,33,0.298,8.741333333333333,0.6857796045454545,0.4174142730913449,0.001923,0.10514675,0.9689639999999999,0.989305,0.998059,29.266666666666666,31.155553563528663
